model,scaler,feature_selection_method,pca,classification_method,accuracy_score,f1_score,precision_score,recall_score,time_used
2,none,False,k_best,k_neighbors,0.8655,0.2672,0.4881,0.184,11.757
6,none,k_best,pca,k_neighbors,0.8655,0.2672,0.4881,0.184,15.524
21,minmaxscaler,k_best,pca,linear_svc,0.7601,0.3346,0.2655,0.4525,38.78
4,none,False,extra_tree,k_neighbors,0.8489,0.2421,0.3653,0.181,46.542
8,none,extra_tree,pca,k_neighbors,0.8489,0.2421,0.3653,0.181,49.813
23,minmaxscaler,extra_tree,pca,linear_svc,0.7739,0.3381,0.2773,0.433,123.533
15,standardscaler,extra_tree,pca,linear_svc,0.7561,0.3435,0.2679,0.4785,141.788
19,minmaxscaler,False,extra_tree,linear_svc,0.7729,0.2475,0.2217,0.28,151.458
5,none,k_best,pca,linear_svc,0.7064,0.3575,0.2524,0.6125,177.741
7,none,extra_tree,pca,linear_svc,0.7361,0.2554,0.2047,0.3395,178.299
11,standardscaler,False,extra_tree,linear_svc,0.7415,0.2508,0.2044,0.3245,179.603
3,none,False,extra_tree,linear_svc,0.7603,0.2436,0.2103,0.2895,188.016
