model,scaler,feature_selection_method,pca,classification_method,accuracy_score,f1_score,precision_score,recall_score,time_used
2,none,False,k_best,k_neighbors,0.8655,0.2672,0.4881,0.184,10.965
6,none,k_best,pca,k_neighbors,0.8655,0.2672,0.4881,0.184,12.505
21,minmaxscaler,k_best,pca,linear_svc,0.7601,0.3346,0.2655,0.4525,31.892
8,none,extra_tree,pca,k_neighbors,0.8489,0.2421,0.3653,0.181,40.891
4,none,False,extra_tree,k_neighbors,0.8489,0.2421,0.3653,0.181,41.398
19,minmaxscaler,False,extra_tree,linear_svc,0.7729,0.2475,0.2217,0.28,98.748
11,standardscaler,False,extra_tree,linear_svc,0.7412,0.2503,0.2039,0.324,99.959
15,standardscaler,extra_tree,pca,linear_svc,0.7561,0.3435,0.2679,0.4785,101.424
23,minmaxscaler,extra_tree,pca,linear_svc,0.7739,0.3381,0.2773,0.433,102.725
7,none,extra_tree,pca,linear_svc,0.7372,0.259,0.2075,0.3445,110.063
5,none,k_best,pca,linear_svc,0.7064,0.3575,0.2524,0.6125,131.294
3,none,False,extra_tree,linear_svc,0.7603,0.2436,0.2103,0.2895,144.899
