model,scaled,feature_selection_method,classification_method,accuracy_score,f1_score,precision_score,recall_score,time_used
2,True,k_best,k_neighbors,0.889,0.333,0.333,0.333,14.788
17,True,extra_tree_with_pca,k_neighbors,0.917,0.4,0.5,0.333,57.361
23,True,randomized_logistic_with_pca,k_neighbors,0.944,0.5,1.0,0.333,378.625
1,False,k_best,linear_svc,0.944,0.5,1.0,0.333,5.817
2,False,k_best,k_neighbors,0.917,0.4,0.5,0.333,14.237
14,False,k_best_with_pca,k_neighbors,0.917,0.4,0.5,0.333,18.37
20,False,linear_svc_l1_with_pca,k_neighbors,0.889,0.333,0.333,0.333,42.02
17,False,extra_tree_with_pca,k_neighbors,0.917,0.4,0.5,0.333,57.348
5,False,extra_tree,k_neighbors,0.917,0.4,0.5,0.333,57.733
22,False,randomized_logistic_with_pca,linear_svc,0.889,0.333,0.333,0.333,176.656
23,False,randomized_logistic_with_pca,k_neighbors,0.917,0.4,0.5,0.333,378.885
