model,scaler,feature_selection_method,pca,classification_method,accuracy_score,f1_score,precision_score,recall_score,time_used
21,minmaxscaler,pca,k_best,linear_svc,0.7037,0.4295,0.2889,0.8365,38.677
17,minmaxscaler,none,k_best,linear_svc,0.8008,0.264,0.2602,0.268,40.875
8,none,pca,extra_tree,k_neighbors,0.8489,0.2421,0.3653,0.181,42.631
4,none,none,extra_tree,k_neighbors,0.8489,0.2421,0.3653,0.181,44.884
13,standardscaler,pca,k_best,linear_svc,0.7136,0.4334,0.2943,0.8215,52.269
9,standardscaler,none,k_best,linear_svc,0.7251,0.3081,0.2319,0.459,62.845
19,minmaxscaler,none,extra_tree,linear_svc,0.7729,0.2475,0.2217,0.28,118.018
11,standardscaler,none,extra_tree,linear_svc,0.7254,0.2938,0.2236,0.4285,119.211
23,minmaxscaler,pca,extra_tree,linear_svc,0.7187,0.406,0.2826,0.721,121.025
15,standardscaler,pca,extra_tree,linear_svc,0.7561,0.3435,0.2679,0.4785,121.808
7,none,pca,extra_tree,linear_svc,0.6615,0.3065,0.2109,0.561,138.076
3,none,none,extra_tree,linear_svc,0.7372,0.2477,0.2003,0.3245,144.096
1,none,none,k_best,linear_svc,0.7905,0.2321,0.2269,0.2375,196.972
5,none,pca,k_best,linear_svc,0.7064,0.3575,0.2524,0.6125,247.433
